movie_id,title,director,genre,release_year,country,language,duration_minutes,content_rating,imdb_rating,netflix_rating,total_views,date_added_to_netflix,is_netflix_original,budget_millions,box_office_millions,profit_millions,years_on_netflix,rating_category
NF0001,Lost Code,Denis Villeneuve,Horror,2018,Canada,Spanish,155,TV-Y7,7.2,7.1,94805,2019-08-04,True,44.51,26.1,-18.409999999999997,5,Good
NF0002,Fear,Denis Villeneuve,War,2008,Thailand,Portuguese,80,PG-13,4.8,5.0,8140,2024-07-29,False,31.94,,,0,Poor
NF0003,Last Nightmare,Chloe Zhao,Fantasy,2011,India,Mandarin,148,PG,8.9,9.3,1851,2013-11-03,False,59.34,,,11,Excellent
NF0004,Star,Steven Spielberg,Adventure,2023,South Korea,Dutch,90,R,5.6,5.3,11346,2024-05-13,True,91.23,,,0,Average
NF0005,Sky,Jordan Peele,Comedy,2007,China,Japanese,148,R,6.9,5.9,39022,2018-04-21,True,54.72,,,6,Average
NF0006,Bright Light,Martin Scorsese,Sci-Fi,2019,India,Swedish,131,NC-17,7.7,6.9,11568,2022-07-22,True,188.64,,,2,Good
NF0007,Hope,Bong Joon-ho,Horror,2011,Spain,German,111,TV-PG,5.1,4.4,31055,2015-10-28,False,,468.91,,9,Average
NF0008,Legend,Zack Snyder,Biography,2012,UK,Hindi,94,PG-13,5.6,5.9,40433,2017-01-13,True,,55.5,,7,Average
NF0009,Storm,Christopher Nolan,Drama,2012,Turkey,Portuguese,178,TV-MA,5.7,5.8,53313,2023-01-21,False,87.52,763.28,675.76,1,Average
NF0010,Quick Sun,Ridley Scott,Drama,2023,Italy,Korean,99,TV-Y,5.6,6.1,5755,2024-08-25,True,155.95,5.45,-150.5,0,Average
NF0011,New Light,Greta Gerwig,Sci-Fi,2011,India,Italian,152,PG,5.6,6.5,7288,2022-03-24,True,,,,2,Average
NF0012,Legend,Parasite Director,Romance,2021,Spain,Thai,107,TV-PG,5.7,5.7,136824,2024-01-16,True,,538.99,,0,Average
NF0013,Love,Quentin Tarantino,Sci-Fi,2012,South Korea,Spanish,123,G,7.7,7.1,28763,2022-03-14,True,2.43,,,2,Good
NF0014,A Dream,Steven Spielberg,Sci-Fi,2005,Spain,Arabic,107,TV-PG,10.0,10.0,20438,2015-02-19,True,,,,9,Excellent
NF0015,Loud Shadow,Patty Jenkins,Thriller,2016,Canada,French,164,TV-Y7,7.6,7.7,7041,2022-03-23,False,93.94,,,2,Good
NF0016,Bright Shadow,Quentin Tarantino,Sci-Fi,2019,Japan,Korean,148,TV-G,5.0,4.2,15828,2020-03-16,True,56.43,739.0,682.57,4,Poor
NF0017,Storm,Quentin Tarantino,Adventure,2013,Turkey,English,91,R,5.8,6.3,19128,2022-12-31,True,96.79,,,2,Average
NF0018,The Hope,Jordan Peele,War,2024,Italy,Thai,169,TV-PG,4.8,4.9,77783,2024-04-12,False,60.04,,,0,Poor
NF0019,Bright Adventure,Martin Scorsese,Biography,2016,Argentina,Japanese,87,TV-PG,5.5,5.8,304,2023-01-25,True,,59.03,,1,Average
NF0020,Fire,Denis Villeneuve,Adventure,2023,China,Spanish,133,TV-MA,7.4,7.8,96619,2023-12-27,False,,574.37,,1,Good
NF0021,Sky,Greta Gerwig,War,2009,Australia,Spanish,81,TV-G,5.2,5.0,103403,2015-12-16,True,43.42,746.94,703.5200000000001,9,Average
NF0022,Nightmare,Greta Gerwig,Romance,2023,Brazil,Dutch,158,TV-MA,4.2,4.7,2758,2023-11-08,True,111.37,,,1,Poor
NF0023,Last Moon,Christopher McQuarrie,Horror,2006,Spain,Dutch,157,R,4.8,4.2,62778,2013-01-05,False,127.21,393.38,266.17,11,Poor
NF0024,Great Light,Jordan Peele,Adventure,2024,USA,Swedish,178,PG-13,7.8,7.9,49847,2024-05-04,False,88.93,,,0,Good
NF0025,First Storm,Martin Scorsese,Animation,2016,Thailand,German,135,PG-13,7.0,6.7,100127,2016-09-07,True,179.9,,,8,Average
NF0026,Secret,Denis Villeneuve,Drama,2023,Netherlands,Thai,159,PG-13,8.7,8.9,59230,2023-05-31,True,,,,1,Excellent
NF0027,Journey,Ridley Scott,Documentary,2022,Norway,Italian,114,PG-13,2.6,3.0,669,2022-09-05,True,8.71,163.66,154.95,2,Poor
NF0028,Light,Denis Villeneuve,Sci-Fi,2024,USA,Korean,131,TV-Y,4.4,4.9,31259,2024-10-03,False,,,,0,Poor
NF0029,Hope,Christopher McQuarrie,Documentary,2010,USA,French,113,PG-13,6.2,6.4,32753,2018-02-18,False,119.72,630.21,510.49,6,Average
